product_id,score,element_name,name,price,case_power_standard,case_mainboard_standard,gpu_length_mm,cpu_cooler_height_mm,price_stc
21482320839,0.6511924332,case,앱코 NCORE 사일런티,33490,ATX,MATX,390,160,-0.6170613438
21496805776,0.2117387551,case,리안리 TU150 강화유리,155150,MATX,MITX,320,165,0.3545860894
21615113042,0.6545649364,case,3RSYS R410,43000,ATX,MATX,330,160,-0.5411089594
21761147784,0.4636227197,case,잘만테크 M3 PLUS,55300,ATX,MITX,330,165,-0.4428740142
21761821770,0.6703460392,case,브라보텍 GUARDIAN 1140M 타이탄 글래스,107990,ATX,MITX,455,175,-0.02206106622
21775521240,0.5063223731,case,쿠거 CONQUER 2,486790,ATX,ATX,400,135,3.003255782
21856976652,0.4178079569,case,한미마이크로닉스 마이크로닉스 Master M60 메쉬,32500,ATX,MITX,325,175,-0.6249680589
21856976652,0.4178079569,case,한미마이크로닉스 마이크로닉스 Master M60 메쉬,32500,ATX,MITX,325,175,-0.6249680589
21894954575,0.6418511232,case,브라보텍 GUARDIAN 1200M 타이탄 글래스,116490,ATX,MITX,455,178,0.04582487149
21918480531,0.2695935115,case,앱코 수트마스터 Q201 Xcube 강화유리,84000,ATX,MITX,280,145,-0.2136591422
22021585360,0.2167307172,case,시그마텍 ZEUS ARCTIC RGB 강화유리,173900,ATX,MITX,320,160,0.5043344814
22040547740,0.5684879475,case,데이븐 FT903 MESH 강화유리,41090,ATX,MITX,360,160,-0.5563633289
22207501596,0.7694099396,case,써멀테이크 Level 20 HT,253990,ATX,MITX,400,260,1.143979746
22434016995,0.6656791251,case,한미마이크로닉스 마이크로닉스 루키 III,23000,ATX,MITX,315,158,-0.7008405776
22434016999,0.6163134888,case,앱코 수트마스터 ONE ORIGIN 강화유리 LUNAR,113000,ATX,MITX,310,165,0.01795170413
22446727877,0.7426608872,case,대양케이스 FREEZER X MINI 강화유리,55000,ATX,MITX,340,185,-0.4452699885
22611482127,0.7063651031,case,다크플래쉬 DLV22 RGB 강화유리,60500,ATX,MITX,320,165,-0.4013437935
22789982805,0.7291440238,case,3RSYS T800 풍통,109000,ATX,ATX,380,180,-0.01399461951
22895594426,0.7006989538,case,3RSYS R480,47000,ATX,MATX,340,185,-0.5091626358
